,Title,[All TAB] Article Rank,[All TAB] Video Rank,[All TAB] Article Matched title,[Video TAB] Video Rank,[Video TAB] Video Title,[Links] All_Tab-All_Tab_Video-Video_Tab
14,Segregate 0s and 1s in an array - GeeksforGeeks,4,-1,Segregate 0s and 1s in an array - Videos - GeeksforGeeks,3,Segregate 0s and 1s in an array - Videos - GeeksforGeeks,"https://www.geeksforgeeks.org/videos/segregate-0s-and-1s-in-an-array/
N/A
https://www.geeksforgeeks.org/videos/segregate-0s-and-1s-in-an-array/"
15,Search in an almost sorted array - GeeksforGeeks,3,-1,Search in an almost sorted array - Videos - GeeksforGeeks,2,Search in an almost sorted array - Videos - GeeksforGeeks,"https://www.geeksforgeeks.org/videos/search-in-an-almost-sorted-array/
N/A
https://www.geeksforgeeks.org/videos/search-in-an-almost-sorted-array/"
16,Bottom View of a Binary Tree - GeeksforGeeks,NA,-1,,NA,,"N/A
N/A
N/A"
17,Complete Roadmap To Learn DSA From Scratch -...,NA,-1,,NA,,"N/A
N/A
N/A"
18,Find length of loop in linked list - GeeksforGeeks,NA,-1,,2,Find the length of loop in linked list - Videos - GeeksforGeeks,"N/A
N/A
https://www.geeksforgeeks.org/videos/find-the-length-of-loop-in-linked-list/"
19,Smallest subarray with sum greater than a given value...,NA,-1,,NA,,"N/A
N/A
N/A"
20,Rearrange an array in maximum minimum form | Set 1 -...,NA,-1,,3,Rearrange an array in maximum minimum form | Set 1 - Videos - GeeksforGeeks,"N/A
N/A
https://www.geeksforgeeks.org/videos/rearrange-an-array-in-maximum-minimum-form-set-1/"
21,Implement a stack using single queue - GeeksforGeeks,NA,-1,,NA,,"N/A
N/A
N/A"
22,First element occurring k times in an array -...,NA,-1,,1,First element to occur k times | SDE Sheet | Hashing - Videos - GeeksforGeeks,"N/A
N/A
https://www.geeksforgeeks.org/videos/first-element-to-occur-k-times/"
23,What is Competitive Programming and How to Prepare for...,NA,-1,,NA,,"N/A
N/A
N/A"
24,Pairwise Swap Nodes of a given Linked List -...,NA,-1,,4,Pairwise swap elements of a given linked list - Videos - GeeksforGeeks,"N/A
N/A
https://www.geeksforgeeks.org/videos/pairwise-swap-elements-of-a-given-linked-list/"
25,Count triplets with sum smaller than a given value -...,NA,-1,,NA,,"N/A
N/A
N/A"
26,"Python | Set 2 (Variables, Expressions, Conditions and...",NA,-1,,7,"Python Programming Tutorial | Variables, Expressions, Conditions and Functions - Videos","N/A
N/A
https://www.geeksforgeeks.org/videos/python-programming-tutorial-variables-expressions-conditions-and-functions/"
27,Flattening a Linked List - GeeksforGeeks,NA,-1,,NA,,"N/A
N/A
N/A"
28,Longest Bitonic Subsequence | DP-15 - GeeksforGeeks,NA,-1,,3,Longest Bitonic Subsequence (Visualisation) - Videos | GeeksforGeeks,"N/A
N/A
https://www.geeksforgeeks.org/videos/longest-bitonic-subsequence-visualisation/"
29,Detect Cycle in a directed graph using colors -...,NA,-1,,NA,,"N/A
N/A
N/A"
30,Segment Tree | Set 2 (Range Minimum Query) -...,NA,-1,,NA,,"N/A
N/A
N/A"
31,Equal Sum and XOR - GeeksforGeeks,3,-1,Equal Sum and XOR - Videos - GeeksforGeeks,2,Equal Sum and XOR - Videos - GeeksforGeeks,"https://www.geeksforgeeks.org/videos/equal-sum-and-xor/
N/A
https://www.geeksforgeeks.org/videos/equal-sum-and-xor/"
32,5 Operating System Concepts You Should Know As a...,1,-1,5 Operating System Concepts You Should Know As a Developer,2,5 Operating System Concepts You Should Know As a Developer - Videos - GeeksforGeeks,"https://www.geeksforgeeks.org/videos/5-operating-system-concepts-you-should-know-as-a-developer/
N/A
https://www.geeksforgeeks.org/videos/5-operating-system-concepts-you-should-know-as-a-developer/"
33,Multiply two numbers represented by Linked Lists -...,NA,-1,,NA,,"N/A
N/A
N/A"
34,Painting Fence Algorithm - GeeksforGeeks,3,-1,Painting Fence Algorithm - Videos - GeeksforGeekswww.geeksforgeeks.org › videos › painting-fence-algorithm,2,Painting Fence Algorithm - Videos - GeeksforGeeks,"https://www.geeksforgeeks.org/videos/painting-fence-algorithm/
N/A
https://www.geeksforgeeks.org/videos/painting-fence-algorithm/"
35,Double Tree - GeeksforGeeks,2,-1,Double Tree - Videos | GeeksforGeekswww.geeksforgeeks.org › videos › double-tree,2,Double Tree - Videos | GeeksforGeeks,"https://www.geeksforgeeks.org/videos/double-tree/
N/A
https://www.geeksforgeeks.org/videos/double-tree/"
36,System Design - Horizontal and Vertical Scaling -...,NA,-1,,NA,,"N/A
N/A
N/A"
37,Add two numbers represented by linked lists | Set 1 -...,NA,-1,,NA,,"N/A
N/A
N/A"
38,Data Science VS Machine Learning - GeeksforGeeks,NA,-1,,NA,,"N/A
N/A
N/A"
39,Number of Triangles in an Undirected Graph -...,NA,-1,,3,Number of Triangles in an Undirected Graph - Videos - GeeksforGeeks,"N/A
N/A
https://www.geeksforgeeks.org/videos/number-of-triangles-in-an-undirected-graph/"
40,Counters in Python | Set 1 (Initialization and...,NA,-1,,NA,,"N/A
N/A
N/A"
41,7 Best Coding Challenge Websites in 2020 -...,NA,-1,,NA,,"N/A
N/A
N/A"
42,Top 10 Python Libraries for Data Science in 2021 -...,NA,-1,,NA,,"N/A
N/A
N/A"
43,ProGeek Cup 2.0 - A Project Competition by...,NA,-1,,NA,,"N/A
N/A
N/A"
44,Construct Special Binary Tree from given Inorder...,NA,-1,,2,Construct Special Binary Tree from given Inorder traversal - Videos - GeeksforGeeks,"N/A
N/A
https://www.geeksforgeeks.org/videos/construct-special-binary-tree-from-given-inorder-traversal/"
45,Python program for removing i-th character from a...,NA,-1,,NA,,"N/A
N/A
N/A"
46,How Google Search Works!! - GeeksforGeeks,NA,-1,,5,Binary Search | SDE Sheet | Searching and Sorting - Videos - GeeksforGeeks,"N/A
N/A
https://www.geeksforgeeks.org/videos/binary-search/"
47,"Python String Methods | Set 1 (find, rfind, startwith,...",NA,-1,,NA,,"N/A
N/A
N/A"
48,Count the number of non-reachable nodes - GeeksforGeeks,NA,-1,,1,Count the number of non-reachable nodes - Videos - GeeksforGeeks,"N/A
N/A
https://www.geeksforgeeks.org/videos/count-the-number-of-non-reachable-nodes/"
49,Work Life Balance Tips For Programmers - GeeksforGeeks,NA,-1,,NA,,"N/A
N/A
N/A"
50,Delete N nodes after M nodes of a linked list -...,NA,-1,,3,Delete N nodes after M nodes of a linked list - Videos - GeeksforGeeks,"N/A
N/A
https://www.geeksforgeeks.org/videos/delete-n-nodes-after-m-nodes-of-a-linked-list/"
51,who command in Linux - GeeksforGeeks,NA,-1,,NA,,"N/A
N/A
N/A"
52,Print nodes at k distance from root - GeeksforGeeks,6,-1,Print nodes at k distance from root iteratively - Videos - GeeksforGeeks,2,Print nodes at k distance from root iteratively - Videos - GeeksforGeeks,"https://www.geeksforgeeks.org/videos/print-nodes-at-k-distance-from-root-iteratively/
N/A
https://www.geeksforgeeks.org/videos/print-nodes-at-k-distance-from-root-iteratively/"
53,Find nth Fibonacci number using Golden ratio -...,NA,-1,,NA,,"N/A
N/A
N/A"
54,Print all subarrays with 0 sum - GeeksforGeeks,NA,-1,,3,Zero Sum Subarrays | SDE Sheet | Hashing - Videos - GeeksforGeeks,"N/A
N/A
https://www.geeksforgeeks.org/videos/zero-sum-subarrays-sde-sheet-hashing/"
55,Iterative Method to find Height of Binary Tree -...,NA,-1,,3,Iterative Method to find Height of Binary Tree - Videos - GeeksforGeeks,"N/A
N/A
https://www.geeksforgeeks.org/videos/iterative-method-to-find-height-of-binary-tree/"
56,FREE GATE CS 2022 Mock Test - All India Mock By...,NA,-1,,NA,,"N/A
N/A
N/A"
57,Types of Transmission Media - GeeksforGeeks,2,-1,Transmission Media in Computer Networks - Videos - GeeksforGeeks,2,Transmission Media in Computer Networks - Videos - GeeksforGeekswww.geeksforgeeks.org › videos › transmission-media-in-computer-netwo...,"https://www.geeksforgeeks.org/videos/transmission-media-in-computer-networks/
N/A
https://www.geeksforgeeks.org/videos/transmission-media-in-computer-networks/"
58,Chomsky Hierarchy in Theory of Computation -...,NA,-1,,NA,,"N/A
N/A
N/A"
59,How to Become Data Scientist - A Complete Roadmap -...,NA,-1,,7,Complete Roadmap to Become a Data Scientist - Videos - GeeksforGeeks,"N/A
N/A
https://www.geeksforgeeks.org/videos/complete-roadmap-to-become-a-data-scientist/"
60,Multidimensional Arrays in C / C - GeeksforGeeks,NA,-1,,NA,,"N/A
N/A
N/A"
61,Android Studio Setup for Flutter Development -...,NA,-1,,NA,,"N/A
N/A
N/A"
62,C Program to Check Whether a Number is Prime or not -...,NA,-1,,NA,,"N/A
N/A
N/A"
63,Find sum of all left leaves in a given Binary Tree -...,NA,-1,,1,Find sum of all left leaves in a given Binary Tree - Videos - GeeksforGeeks,"N/A
N/A
https://www.geeksforgeeks.org/videos/find-sum-of-all-left-leaves-in-a-given-binary-tree/"
64,7 Tips and Tricks to Learn Programming Faster -...,NA,-1,,NA,,"N/A
N/A
N/A"
65,Placement Preparation Guide - GeeksforGeeks,NA,-1,,4,"How to Prepare for Capgemini Placement? | Preparation Strategy, Syllabus - Videos","N/A
N/A
https://www.geeksforgeeks.org/videos/how-to-prepare-for-capgemini-preparation-tips-syllabus/"
66,Print all nodes that don't have sibling - GeeksforGeeks,3,-1,Videos Print All Nodes That Don't Have Sibling - GeeksforGeeks,2,Videos Print All Nodes That Don't Have Sibling - GeeksforGeekswww.geeksforgeeks.org › videos › print-all-nodes-that-dont-have-sibling,"https://www.geeksforgeeks.org/videos/print-all-nodes-that-dont-have-sibling/
N/A
https://www.geeksforgeeks.org/videos/print-all-nodes-that-dont-have-sibling/"
67,Check if an array can be divided into pairs whose sum...,NA,-1,,3,Array Pair Sum Divisibility Problem | SDE Sheet | Hashing - Videos - GeeksforGeeks,"N/A
N/A
https://www.geeksforgeeks.org/videos/array-pair-sum-divisibility-problem-sde-sheet-hashing/"
68,Graph Plotting in Python | Set 3 - GeeksforGeeks,NA,-1,,4,Plot a Pie Chart in Python using Matplotlib - Videos - GeeksforGeeks,"N/A
N/A
https://www.geeksforgeeks.org/videos/pie-chart-matplotlib/"
69,Check if a word exists in a grid or not - GeeksforGeeks,2,-1,Check if a word exists in a grid or not - Videos - GeeksforGeeks,2,Check if a word exists in a grid or not - Videos - GeeksforGeekswww.geeksforgeeks.org › videos › check-if-a-word-exists-in-a-grid-or-not,"https://www.geeksforgeeks.org/videos/check-if-a-word-exists-in-a-grid-or-not/
N/A
https://www.geeksforgeeks.org/videos/check-if-a-word-exists-in-a-grid-or-not/"
70,Check if each internal node of a BST has exactly one...,2,-1,Check if each internal node of a BST has exactly one child - Videos,2,Check if each internal node of a BST has exactly one child - Videos - GeeksforGeeks,"https://www.geeksforgeeks.org/videos/check-if-each-internal-node-of-a-bst-has-exactly-one-child/
N/A
https://www.geeksforgeeks.org/videos/check-if-each-internal-node-of-a-bst-has-exactly-one-child/"
71,Sort linked list which is already sorted on absolute...,NA,-1,,3,Sort linked list which is already sorted on absolute values - Videos - GeeksforGeeks,"N/A
N/A
https://www.geeksforgeeks.org/videos/sort-linked-list-which-is-already-sorted-on-absolute-values/"
72,What is Raster Scan Display Mechanism? - GeeksforGeeks,5,-1,Raster Scan Display in Computer Graphics - Videos | GeeksforGeeks,1,Random Scan Display in Computer Graphics - Videos - GeeksforGeekswww.geeksforgeeks.org › videos › random-scan-display-in-computer-grap...,"https://www.geeksforgeeks.org/videos/raster-scan-display-in-computer-graphics/
N/A
https://www.geeksforgeeks.org/videos/random-scan-display-in-computer-graphics/"
73,Iterator Functions in Python | Set 1 - GeeksforGeeks,NA,-1,,NA,,"N/A
N/A
N/A"
74,Print all Jumping Numbers smaller than or equal to a...,2,-1,Print all Jumping Numbers smaller than or equal to a given value,1,Print all Jumping Numbers smaller than or equal to a given value - Videos - GeeksforGeeks,"https://www.geeksforgeeks.org/videos/print-all-jumping-numbers-smaller-than-or-equal-to-a-given-value/
N/A
https://www.geeksforgeeks.org/videos/print-all-jumping-numbers-smaller-than-or-equal-to-a-given-value/"
75,Check if an array represents Inorder of Binary Search...,NA,-1,,NA,,"N/A
N/A
N/A"
76,Possible Words using given characters in Python -...,NA,-1,,NA,,"N/A
N/A
N/A"
77,GATE | GATE CS 2018 | Question 20 - GeeksforGeeks,NA,-1,,NA,,"N/A
N/A
N/A"
78,7 In-Demand and High-Paying Career Options For 2022 -...,NA,-1,,3,7 In-Demand and High Paying Career Options For 2022 - Videos - GeeksforGeeks,"N/A
N/A
https://www.geeksforgeeks.org/videos/7-in-demand-and-high-paying-career-options-for-2022/"
79,Program to cyclically rotate an array by one in Python...,NA,-1,,NA,,"N/A
N/A
N/A"
80,Calculate depth of a full Binary tree from Preorder -...,NA,-1,,NA,,"N/A
N/A
N/A"
81,5 Programming Tips For Beginners - GeeksforGeeks,NA,-1,,3,5 Operating System Concepts You Should Know As a Developer - Videos - GeeksforGeeks,"N/A
N/A
https://www.geeksforgeeks.org/videos/5-operating-system-concepts-you-should-know-as-a-developer/"
82,Top 5 Reasons to Learn JavaScript - GeeksforGeeks,NA,-1,,3,Why you should Learn React JS in 2022? - Videos - GeeksforGeeks,"N/A
N/A
https://www.geeksforgeeks.org/videos/why-you-should-learn-react-in-2022/"
83,Comb Sort - GeeksforGeeks,NA,-1,,2,Comb Sort - Videos | GeeksforGeeks,"N/A
N/A
https://www.geeksforgeeks.org/videos/comb-sort/"
84,Convert a given Binary Tree to Doubly Linked List |...,NA,-1,,9,Convert a given Binary Tree to Doubly Linked List | Set 2 - Videos - GeeksforGeeks,"N/A
N/A
https://www.geeksforgeeks.org/videos/convert-a-given-binary-tree-to-doubly-linked-list-set-2/"
85,How to Keep Your Skills Updated As a Software...,NA,-1,,NA,,"N/A
N/A
N/A"
86,"Time Functions in Python | Set 1 (time(), ctime(),...",NA,-1,,NA,,"N/A
N/A
N/A"
87,Check if frequency of all characters can become same...,NA,-1,,NA,,"N/A
N/A
N/A"
88,Array in Python | Set 2 (Important Functions) -...,NA,-1,,NA,,"N/A
N/A
N/A"
89,Iterative Search for a key 'x' in Binary Tree -...,NA,-1,,2,Iterative Search for a key 'x' in Binary Tree - Videos - GeeksforGeeks,"N/A
N/A
https://www.geeksforgeeks.org/videos/iterative-search-for-a-key-x-in-binary-tree/"
90,Sum of nodes at k-th level in a tree represented as...,NA,-1,,2,Product of nodes at k-th level in a tree represented as string - Videos - GeeksforGeeks,"N/A
N/A
https://www.geeksforgeeks.org/videos/product-of-nodes-at-k-th-level-in-a-tree-represented-as-string/"
91,Reverse each word in a linked list node - GeeksforGeeks,2,-1,Reverse each word in a linked list node - Videos - GeeksforGeeks,2,Reverse each word in a linked list node - Videos - GeeksforGeeks,"https://www.geeksforgeeks.org/videos/reverse-each-word-in-a-linked-list-node/
N/A
https://www.geeksforgeeks.org/videos/reverse-each-word-in-a-linked-list-node/"
92,Print leftmost and rightmost nodes of a Binary Tree -...,3,-1,Print leftmost and rightmost nodes of a Binary Tree - GeeksforGeeks,2,Print leftmost and rightmost nodes of a Binary Tree - Videos - GeeksforGeeks,"https://www.geeksforgeeks.org/videos/print-leftmost-and-rightmost-nodes-of-a-binary-tree/
N/A
https://www.geeksforgeeks.org/videos/print-leftmost-and-rightmost-nodes-of-a-binary-tree/"
93,Assign directions to edges so that the directed graph...,2,-1,Assign directions to edges so that the directed graph remains acyclicwww.geeksforgeeks.org › videos › assign-directions-to-edges-so-that-the-d...,2,Assign directions to edges so that the directed graph remains acyclic - GeeksforGeeks,"https://www.geeksforgeeks.org/videos/assign-directions-to-edges-so-that-the-directed-graph-remains-acyclic/
N/A
https://www.geeksforgeeks.org/videos/assign-directions-to-edges-so-that-the-directed-graph-remains-acyclic/"
94,Find largest word in dictionary by deleting some...,NA,-1,,2,Find largest word in dictionary by deleting some characters of given string - GeeksforGeeks,"N/A
N/A
https://www.geeksforgeeks.org/videos/find-largest-word-in-dictionary-by-deleting-some-characters-of-given-string/"
95,Number of nodes greater than a given value in n-ary...,2,-1,Number of nodes greater than a given value in n-ary tree - Videos,1,Number of nodes greater than a given value in n-ary tree - Videos - GeeksforGeeks,"https://www.geeksforgeeks.org/videos/number-of-nodes-greater-than-a-given-value-in-n-ary-tree/
N/A
https://www.geeksforgeeks.org/videos/number-of-nodes-greater-than-a-given-value-in-n-ary-tree/"
96,Maximum Length Bitonic Subarray | Set 1 (O(n) time and...,NA,-1,,2,Maximum Length Bitonic Subarray - Videos - GeeksforGeeks,"N/A
N/A
https://www.geeksforgeeks.org/videos/maximum-length-bitonic-subarray/"
97,GATE | GATE CS 2020 | Question 38 - GeeksforGeeks,NA,-1,,NA,,"N/A
N/A
N/A"
98,C   Data Types - GeeksforGeeks,NA,-1,,9,Structures in C - Videos - GeeksforGeekswww.geeksforgeeks.org › videos › structures-in-c,"N/A
N/A
https://www.geeksforgeeks.org/videos/structures-in-c/"
